variable,year,mean,sd,lower,upper
growth_t,2022,-0.0604664049117665,0.0559060338523066,-0.167275009035875,0.00943537482391202
index_hat_t,1950,11290369.6419263,9182413.81861563,3601563.09020113,26890178.9465111
index_hat_t,1951,10721561.488256,9045852.48613653,3418070.57265093,25228631.2814621
index_hat_t,1952,10819424.9892902,9268580.83585607,3361017.05493765,25643558.2873252
index_hat_t,1953,10932443.275519,9251956.84369871,3480720.47472838,25632522.4783941
index_hat_t,1954,11568198.2651505,9919605.91701349,3623525.95207728,27650904.7904184
index_hat_t,1955,11936253.8800602,10179839.0464374,3687678.32940109,28759852.4196579
index_hat_t,1956,12236510.5693731,10597753.1320042,3775250.64033765,29998064.391015
index_hat_t,1957,12397938.7397707,10975151.7496626,3817779.39988499,29269576.3362267
index_hat_t,1958,12459099.1275841,10668430.0910288,3844054.67924462,30102248.6729013
index_hat_t,1959,13281903.4956651,11570019.5395996,4174020.19596107,31787273.3313937
index_hat_t,1960,13972206.7691996,11881719.6838548,4341360.87213744,34295120.4252297
index_hat_t,1961,13636409.668203,11788763.9647115,4236918.03163682,33282136.4191621
index_hat_t,1962,12914128.7072613,10998975.3370023,4016785.3323608,30271106.8261104
index_hat_t,1963,12495399.654941,10698349.8021358,3798405.65175823,30443366.7359922
index_hat_t,1964,11911124.2969673,10151237.5079974,3622464.01899543,28171730.8125621
index_hat_t,1965,12444629.3642179,10713917.0246394,3786105.89679963,29075241.3941858
index_hat_t,1966,12694937.7427637,10872147.4861382,3917109.4477088,29989159.3159303
index_hat_t,1967,12117988.312959,10420681.4471229,3678920.47990421,29020492.1645035
index_hat_t,1968,10179082.720481,8828499.49013037,3133629.44434963,24442771.9011017
index_hat_t,1969,8175386.1791369,7071984.82442472,2542188.48656711,19492657.4093639
index_hat_t,1970,6832857.63153794,5895886.98985368,2104394.36486607,16608153.0525128
index_hat_t,1971,6428051.16218828,5407700.36587863,2004069.82951484,15348393.4499493
index_hat_t,1972,6014383.96123044,5137066.4744036,1885358.68531612,13708187.9271724
index_hat_t,1973,5388487.56612647,4519897.88113436,1704194.58303956,12634950.6622461
index_hat_t,1974,4855683.80764425,4123120.23170966,1523345.70586034,11375465.9636848
index_hat_t,1975,4681681.09074243,4071486.98150852,1436522.19240828,11085785.3137695
index_hat_t,1976,4390775.11304798,3977727.26152247,1348419.35170098,10190038.4872728
index_hat_t,1977,4351182.03163147,3878559.97825238,1348027.29054524,10645411.5798701
index_hat_t,1978,4035175.47317332,3496760.25312178,1240565.35510435,9555277.10144346
